heure_depart,duree_vol,nb_vols_jour,retards_7j_moy,compagnie,meteo_depart,retard
8.3,114.8,110.0,9.0,FlyY,Bonne,0
5.4,124.7,112.0,12.0,SkyZ,Bonne,0
9.4,135.7,105.0,12.0,FlyY,Mauvaise,0
1.1,105.0,144.0,19.0,FlyY,Bonne,0
9.1,134.5,94.0,26.0,AirX,Bonne,0
10.6,174.9,103.0,21.0,AirX,Moyenne,0
4.5,64.9,91.0,24.0,AirX,Bonne,0
18.6,197.0,158.0,43.0,SkyZ,Moyenne,1
4.3,137.6,103.0,11.0,FlyY,Bonne,0
13.7,165.7,137.0,29.0,FlyY,Bonne,0
4.9,141.9,84.0,20.0,AirX,Bonne,0
8.1,90.4,90.0,25.0,SkyZ,Bonne,0
17.9,167.3,149.0,28.0,SkyZ,Mauvaise,1
14.8,256.5,105.0,32.0,AirX,Bonne,1
2.0,168.7,174.0,9.0,AirX,Bonne,0
13.0,222.3,144.0,38.0,AirX,Bonne,1
4.1,177.0,122.0,16.0,FlyY,Bonne,0
8.5,124.4,89.0,9.0,FlyY,Moyenne,0
12.7,155.0,78.0,0.0,FlyY,Bonne,0
18.7,205.9,142.0,21.0,AirX,Moyenne,1
20.2,128.1,123.0,30.0,FlyY,Mauvaise,1
7.3,136.6,89.0,15.0,AirX,Bonne,0
10.5,78.3,97.0,13.0,AirX,Mauvaise,0
12.7,45.4,153.0,18.0,FlyY,Bonne,0
2.7,156.2,149.0,9.0,FlyY,Bonne,0
7.9,89.2,148.0,23.0,FlyY,Bonne,0
8.4,142.4,158.0,11.0,AirX,Moyenne,0
5.6,132.5,113.0,7.0,FlyY,Mauvaise,0
23.0,227.2,200.0,37.0,FlyY,Bonne,1
7.0,102.3,82.0,22.0,AirX,Moyenne,0
0.8,130.4,154.0,9.0,FlyY,Bonne,0
1.5,115.5,130.0,29.0,AirX,Bonne,0
17.3,165.0,145.0,38.0,AirX,Bonne,1
15.1,245.1,140.0,46.0,SkyZ,Mauvaise,1
17.6,188.7,116.0,29.0,SkyZ,Moyenne,1
18.2,94.9,166.0,20.0,SkyZ,Bonne,1
0.3,113.6,144.0,28.0,FlyY,Bonne,0
4.9,125.3,127.0,16.0,AirX,Bonne,0
2.2,66.1,160.0,8.0,FlyY,Bonne,0
9.0,98.2,180.0,25.0,FlyY,Bonne,0
11.1,125.5,157.0,16.0,AirX,Moyenne,0
0.7,95.9,113.0,14.0,FlyY,Bonne,0
13.8,228.1,161.0,30.0,AirX,Bonne,1
9.0,137.1,121.0,14.0,SkyZ,Bonne,0
0.0,125.6,129.0,26.0,AirX,Moyenne,0
4.3,107.9,175.0,8.0,FlyY,Moyenne,0
6.4,113.0,139.0,13.0,FlyY,Bonne,0
19.3,196.7,88.0,41.0,FlyY,Moyenne,1
12.5,157.2,132.0,3.0,FlyY,Bonne,0
16.1,146.7,132.0,5.0,AirX,Bonne,0
8.2,162.0,132.0,3.0,SkyZ,Bonne,0
6.6,95.9,103.0,12.0,FlyY,Bonne,0
14.2,191.4,63.0,6.0,SkyZ,Bonne,1
7.1,84.9,166.0,30.0,SkyZ,Mauvaise,0
11.1,183.1,133.0,11.0,FlyY,Moyenne,0
17.7,176.8,152.0,19.0,SkyZ,Moyenne,1
1.9,129.6,119.0,12.0,AirX,Bonne,0
11.6,161.6,106.0,0.0,AirX,Bonne,0
6.7,123.3,130.0,8.0,AirX,Moyenne,0
5.7,113.6,130.0,11.0,FlyY,Bonne,0
14.7,93.1,76.0,19.0,FlyY,Bonne,0
5.0,78.8,125.0,15.0,AirX,Bonne,0
4.9,103.4,163.0,25.0,SkyZ,Moyenne,0
3.8,132.7,153.0,0.0,FlyY,Bonne,0
0.0,132.0,90.0,7.0,AirX,Bonne,0
16.3,133.0,143.0,51.0,FlyY,Moyenne,1
2.8,84.6,123.0,36.0,AirX,Bonne,0
9.7,95.6,114.0,14.0,SkyZ,Bonne,0
12.8,138.4,168.0,20.0,AirX,Bonne,0
2.6,118.9,99.0,2.0,SkyZ,Bonne,0
23.0,179.9,142.0,40.0,FlyY,Moyenne,1
19.9,184.9,146.0,17.0,AirX,Bonne,1
4.0,137.4,50.0,15.0,AirX,Bonne,0
18.7,223.0,158.0,39.0,SkyZ,Moyenne,1
12.2,124.3,140.0,10.0,FlyY,Moyenne,0
15.6,137.4,200.0,43.0,FlyY,Moyenne,1
14.3,120.4,153.0,23.0,FlyY,Bonne,1
11.3,138.1,184.0,3.0,AirX,Bonne,0
11.6,139.5,104.0,13.0,FlyY,Mauvaise,0
23.0,180.0,177.0,22.0,AirX,Moyenne,1
11.3,136.8,121.0,23.0,SkyZ,Bonne,0
3.1,111.5,151.0,22.0,FlyY,Bonne,0
8.4,99.4,62.0,25.0,FlyY,Bonne,0
13.4,154.7,171.0,24.0,AirX,Mauvaise,1
10.0,74.8,80.0,15.0,FlyY,Bonne,0
3.8,86.6,123.0,17.0,FlyY,Bonne,0
5.3,103.1,128.0,18.0,FlyY,Bonne,0
7.0,57.4,120.0,33.0,FlyY,Moyenne,0
4.1,116.1,125.0,25.0,SkyZ,Moyenne,0
6.4,130.2,146.0,22.0,FlyY,Bonne,0
10.3,113.9,169.0,12.0,AirX,Moyenne,0
18.5,229.2,171.0,21.0,FlyY,Mauvaise,1
8.1,131.4,126.0,10.0,FlyY,Bonne,0
11.9,151.7,141.0,12.0,FlyY,Bonne,0
8.3,122.2,121.0,4.0,FlyY,Bonne,0
17.6,192.3,132.0,44.0,FlyY,Moyenne,1
7.2,79.0,77.0,0.0,FlyY,Bonne,0
20.0,189.2,110.0,14.0,FlyY,Moyenne,0
13.8,162.0,104.0,19.0,AirX,Moyenne,0
2.2,50.5,141.0,8.0,AirX,Bonne,0
7.6,119.9,116.0,13.0,AirX,Mauvaise,0
16.9,126.1,125.0,35.0,FlyY,Bonne,1
7.7,121.0,84.0,5.0,FlyY,Bonne,0
4.7,129.9,153.0,11.0,FlyY,Moyenne,0
0.0,154.2,116.0,13.0,SkyZ,Moyenne,0
8.3,119.7,91.0,22.0,AirX,Bonne,0
7.1,128.7,98.0,4.0,FlyY,Moyenne,0
11.0,105.1,92.0,9.0,FlyY,Mauvaise,0
8.9,147.6,106.0,15.0,AirX,Bonne,0
17.5,166.9,114.0,18.0,AirX,Mauvaise,1
16.3,144.4,161.0,35.0,AirX,Bonne,1
9.3,107.6,123.0,13.0,AirX,Bonne,0
5.7,100.8,88.0,8.0,SkyZ,Bonne,0
2.1,124.8,88.0,19.0,SkyZ,Moyenne,0
